Repitition,Time,rho,SNR,n,Optimality Gap,Change Points
6,386.69002199172974,0.0,6.0,1000,0.0,[499]
3,464.5715000629425,0.0,6.0,1000,0.0,[499]
5,465.42783308029175,0.0,6.0,1000,0.15396971565197645,[499]
2,465.88061690330505,0.0,6.0,1000,0.16815229661783626,[499]
7,465.9653398990631,0.0,6.0,1000,0.15432743352541117,[499]
0,466.1031401157379,0.0,6.0,1000,0.13119690027874065,[499]
1,466.4609327316284,0.0,6.0,1000,0.13348044255829827,[499]
4,467.3319480419159,0.0,6.0,1000,0.10845349560609742,[498]
6,506.5680191516876,0.3,6.0,1000,0.1728423804726094,[499]
5,461.65435099601746,0.3,6.0,1000,0.19712907888515752,[499]
3,462.7700717449188,0.3,6.0,1000,0.18940953653011341,[499]
7,462.12491393089294,0.3,6.0,1000,0.20643108164437998,[499]
2,462.28391790390015,0.3,6.0,1000,0.2230884417092212,[499]
0,462.4768431186676,0.3,6.0,1000,0.2063271906098787,[499]
1,463.3976080417633,0.3,6.0,1000,0.21171851630861815,[499]
4,465.2582890987396,0.3,6.0,1000,0.22356970344789787,[499]
6,500.80590200424194,0.7,6.0,1000,0.9128522690651033,"[94, 129, 337, 364, 990]"
5,479.16144728660583,0.7,6.0,1000,0.38601482543113874,[499]
7,479.2507390975952,0.7,6.0,1000,0.38535508229381077,[499]
3,480.0068838596344,0.7,6.0,1000,0.3987784578317979,[499]
2,479.5122780799866,0.7,6.0,1000,0.4003035671559404,[500]
0,479.8068149089813,0.7,6.0,1000,0.43279603516514875,[499]
1,480.17509293556213,0.7,6.0,1000,0.4062255954749984,[499]
4,482.9941689968109,0.7,6.0,1000,0.350715814630758,[499]
6,490.29911398887634,0.0,3.52,1000,0.19775221019487765,[499]
5,481.63575506210327,0.0,3.52,1000,0.1661618094924756,[500]
7,481.4826831817627,0.0,3.52,1000,0.15474764748113773,[499]
2,481.53620409965515,0.0,3.52,1000,0.6190997231055841,"[351, 361, 379, 420, 504]"
3,482.12917923927307,0.0,3.52,1000,0.20047347429334106,[498]
0,481.6634888648987,0.0,3.52,1000,0.18808496371309102,[499]
1,483.33668875694275,0.0,3.52,1000,0.15903442552406005,[499]
4,487.4853482246399,0.0,3.52,1000,0.16690732174778866,[499]
6,469.2904260158539,0.3,3.52,1000,0.40723794536792035,"[116, 522, 939]"
5,466.2272288799286,0.3,3.52,1000,0.3069855478169014,"[500, 511]"
7,466.2307708263397,0.3,3.52,1000,0.22519506921553076,[499]
2,466.13540506362915,0.3,3.52,1000,0.24856000479525056,[499]
3,466.5067129135132,0.3,3.52,1000,0.7033867647748698,"[327, 347, 368, 427, 435]"
0,466.31321907043457,0.3,3.52,1000,0.26801870172493975,[499]
1,467.0810489654541,0.3,3.52,1000,0.5122614787299041,"[506, 515, 534, 564, 584]"
4,474.00834798812866,0.3,3.52,1000,0.27546506419125133,[499]
5,469.743882894516,0.7,3.52,1000,0.4539569790203049,[499]
6,470.4179952144623,0.7,3.52,1000,0.4510302139419625,[499]
7,469.47649693489075,0.7,3.52,1000,0.4830777092700439,[499]
2,469.63884592056274,0.7,3.52,1000,0.44704856599885695,[499]
0,469.38297605514526,0.7,3.52,1000,0.4438368576099474,[499]
3,469.7957842350006,0.7,3.52,1000,0.7055229812629538,"[504, 509, 558, 638]"
1,470.15492272377014,0.7,3.52,1000,0.786706756558064,"[318, 471, 478, 498, 797]"
4,480.56608486175537,0.7,3.52,1000,0.4658890528334172,[499]
5,490.16469287872314,0.0,2.07,1000,0.2969629216310525,[]
6,490.61713790893555,0.0,2.07,1000,0.3011673204773805,"[193, 498]"
7,490.31182193756104,0.0,2.07,1000,0.6863454562873796,"[166, 236, 265, 338, 442]"
2,491.0573539733887,0.0,2.07,1000,0.221699384338473,[499]
0,490.90247988700867,0.0,2.07,1000,0.2393278252355692,[499]
3,491.6726257801056,0.0,2.07,1000,0.21643034911849862,[500]
1,494.28383803367615,0.0,2.07,1000,0.3153618201489721,[521]
4,522.0557932853699,0.0,2.07,1000,0.21799378447098072,[499]
5,483.05598616600037,0.3,2.07,1000,0.32573584169157965,[501]
6,483.005939245224,0.3,2.07,1000,0.3236480476913636,[499]
7,482.8913359642029,0.3,2.07,1000,0.31079108594598437,[499]
2,482.4621341228485,0.3,2.07,1000,0.5551482031562108,"[424, 442, 451, 460]"
0,482.3845901489258,0.3,2.07,1000,0.31936985881694946,[499]
3,482.1932780742645,0.3,2.07,1000,0.32455411748022833,[498]
1,484.2550389766693,0.3,2.07,1000,0.6853162205917579,"[552, 574, 640, 662, 721]"
4,513.8067960739136,0.3,2.07,1000,0.33971054481251056,"[487, 491, 497]"
5,489.6071059703827,0.7,2.07,1000,0.6197029460570864,"[428, 432, 452, 487, 498]"
6,489.6118040084839,0.7,2.07,1000,0.7810526389496665,"[179, 385, 444, 491, 496]"
7,489.6486711502075,0.7,2.07,1000,0.4474726329869161,[500]
2,489.5612280368805,0.7,2.07,1000,0.47050378498012535,"[499, 934]"
0,489.5850179195404,0.7,2.07,1000,0.4796857474881508,"[499, 507]"
3,489.95746302604675,0.7,2.07,1000,0.5224046599655978,"[499, 516, 521, 544]"
1,493.6418056488037,0.7,2.07,1000,0.6192621328261206,"[253, 517, 529, 534]"
4,528.2051720619202,0.7,2.07,1000,0.4731152061357745,[499]
5,493.32396507263184,0.0,1.22,1000,0.6288406181414228,"[165, 901]"
6,493.4711890220642,0.0,1.22,1000,0.41967949668251864,"[499, 505, 527, 578]"
7,493.4915819168091,0.0,1.22,1000,0.3188846595184649,[498]
2,493.3096618652344,0.0,1.22,1000,0.31748500153964,[483]
0,493.5623550415039,0.0,1.22,1000,0.35021378177087564,"[501, 506, 520, 534]"
3,494.2526469230652,0.0,1.22,1000,0.26926065102376645,[499]
1,499.83315777778625,0.0,1.22,1000,0.6291468846833136,[796]
4,584.513111114502,0.0,1.22,1000,0.3771984397397402,"[418, 429, 446, 489]"
5,493.6436891555786,0.3,1.22,1000,0.6196713213396625,"[185, 350, 421, 444, 956]"
7,493.3306052684784,0.3,1.22,1000,0.36904796425862807,"[227, 493, 502]"
6,493.4253680706024,0.3,1.22,1000,0.4685699966122279,"[417, 428, 446, 468, 487]"
2,493.471333026886,0.3,1.22,1000,0.48998432642989836,"[340, 437, 775]"
0,493.4189119338989,0.3,1.22,1000,0.4434651694908149,"[429, 451, 462, 499, 816]"
3,493.1874611377716,0.3,1.22,1000,0.33727383445812104,[500]
1,501.77126574516296,0.3,1.22,1000,0.6314416957180418,"[219, 293, 307, 317, 458]"
4,626.8616020679474,0.3,1.22,1000,0.4040310855474968,"[389, 517]"
5,486.4098620414734,0.7,1.22,1000,0.4300537465591547,[499]
7,486.25708293914795,0.7,1.22,1000,0.5134574677384355,"[508, 517, 522, 525, 540]"
6,486.59268975257874,0.7,1.22,1000,0.6372731289166306,"[565, 570, 577, 648, 987]"
2,486.52372694015503,0.7,1.22,1000,0.4654554030837728,"[499, 693]"
0,486.663067817688,0.7,1.22,1000,0.6620183881391696,"[570, 580, 584, 640, 843]"
3,487.30458068847656,0.7,1.22,1000,0.5947200743615485,"[377, 383, 395, 705, 721]"
1,515.9378159046173,0.7,1.22,1000,0.4369706220412227,[499]
4,573.8513317108154,0.7,1.22,1000,0.456520524390687,[496]
5,484.03633999824524,0.0,0.71,1000,0.3228913651576177,[499]
7,484.1158139705658,0.0,0.71,1000,0.37814736229960877,"[447, 476]"
6,483.96762895584106,0.0,0.71,1000,0.5614930355932124,"[70, 98, 105, 121, 179]"
